epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0996,1.66859,2.67517,1.7305,0.72695,0.27323,0.31844,0.16454,1.84518,2.84417,1.99529,0.000553282,0.000553282,0.000553282
2,134.86,1.76476,2.07929,1.80582,0.27785,0.24608,0.27569,0.12822,1.90808,2.54425,2.00436,0.00108699,0.00108699,0.00108699
3,202.062,1.80302,1.82765,1.83095,0.3252,0.34789,0.33805,0.15288,1.85877,1.97497,1.85598,0.0015987,0.0015987,0.0015987
4,269.749,1.77539,1.76515,1.80487,0.35925,0.25152,0.31642,0.12591,2.21116,2.08623,2.24036,0.00156798,0.00156798,0.00156798
5,336.154,1.72472,1.66309,1.77526,0.3509,0.35044,0.41702,0.2271,1.61722,1.60041,1.74179,0.00153497,0.00153497,0.00153497
6,402.613,1.66557,1.56779,1.73518,0.83941,0.37016,0.49336,0.25603,1.65534,1.42177,1.74965,0.00150197,0.00150197,0.00150197
7,470.365,1.65634,1.5358,1.72488,0.54848,0.52796,0.56117,0.30427,1.53208,1.23383,1.65764,0.00146896,0.00146896,0.00146896
8,537.811,1.61324,1.45106,1.68698,0.49389,0.48641,0.47901,0.24927,1.63442,1.38729,1.72781,0.00143595,0.00143595,0.00143595
9,603.18,1.59111,1.40875,1.67245,0.62592,0.57682,0.59138,0.33763,1.45369,1.14472,1.58727,0.00140295,0.00140295,0.00140295
10,671.072,1.57203,1.35438,1.65624,0.669,0.53885,0.6158,0.34103,1.51179,1.10774,1.64717,0.00136994,0.00136994,0.00136994
11,739.437,1.56009,1.34854,1.63962,0.54843,0.539,0.54445,0.31739,1.45571,1.21442,1.58883,0.00133693,0.00133693,0.00133693
12,807.551,1.53869,1.32614,1.64009,0.59824,0.55057,0.59228,0.34444,1.45775,1.10611,1.59639,0.00130393,0.00130393,0.00130393
13,875.673,1.52051,1.26855,1.62133,0.65453,0.57196,0.60944,0.35113,1.38369,1.00648,1.52076,0.00127092,0.00127092,0.00127092
14,942.555,1.51242,1.2528,1.61595,0.66668,0.61125,0.63733,0.37948,1.37421,0.98755,1.53721,0.00123791,0.00123791,0.00123791
15,1011.85,1.49201,1.23092,1.59588,0.66796,0.57493,0.61722,0.3738,1.4259,1.04029,1.52488,0.00120491,0.00120491,0.00120491
16,1083.13,1.47105,1.22944,1.59479,0.68536,0.62355,0.67545,0.413,1.3289,0.88778,1.48915,0.0011719,0.0011719,0.0011719
17,1151.94,1.46918,1.19593,1.5894,0.64646,0.63812,0.66411,0.39454,1.38749,0.97351,1.56156,0.00113889,0.00113889,0.00113889
18,1221.72,1.46633,1.20734,1.58722,0.69377,0.59945,0.64451,0.40328,1.3071,0.90645,1.48571,0.00110589,0.00110589,0.00110589
19,1288.94,1.44421,1.14562,1.56965,0.74219,0.60923,0.64863,0.4006,1.31083,0.89385,1.4792,0.00107288,0.00107288,0.00107288
20,1358.49,1.4445,1.16481,1.5492,0.69823,0.61015,0.66196,0.41672,1.27296,0.90491,1.45665,0.00103987,0.00103987,0.00103987
21,1425.53,1.42188,1.12151,1.55254,0.72728,0.63628,0.67953,0.41757,1.29043,0.85272,1.47466,0.00100687,0.00100687,0.00100687
22,1492.98,1.40498,1.11444,1.53702,0.71665,0.62662,0.6696,0.41378,1.27709,0.91109,1.44641,0.000973861,0.000973861,0.000973861
23,1559.34,1.4198,1.11631,1.54264,0.70421,0.59957,0.66507,0.41313,1.31281,0.87527,1.47253,0.000940855,0.000940855,0.000940855
24,1624.04,1.37874,1.07594,1.5262,0.70161,0.63499,0.66766,0.4116,1.29024,0.82823,1.45993,0.000907848,0.000907848,0.000907848
25,1690.27,1.38553,1.06603,1.5158,0.73727,0.62662,0.69825,0.43252,1.28586,0.84856,1.4505,0.000874842,0.000874842,0.000874842
26,1756.14,1.38522,1.07246,1.52481,0.73151,0.65302,0.69907,0.43745,1.2729,0.80498,1.45196,0.000841835,0.000841835,0.000841835
27,1820.77,1.34408,1.03167,1.50001,0.7445,0.61734,0.69871,0.43177,1.27929,0.82784,1.4538,0.000808828,0.000808828,0.000808828
